RF-prob,LR-prob,ADA-prob,NB-prob,DT-prob,MLP-prob,KNN-prob,EX-prob,LGBM-prob,QDA-prob,LDA-AAC,Target
0.99,0.9667031705400588,0.5847796848920099,2.526295893492473e-12,1.0,0.9999997567765496,1.0,0.93,0.9999782621791069,4.0796516628130693e-82,0.6433510180903429,1
1.0,0.8534203384594586,0.5668133702935297,8.675109400345949e-14,1.0,0.9999148643002302,1.0,0.97,0.9999782621791069,1.4277014429544336e-82,0.5405808355242757,1
0.0,2.0688757231246123e-47,0.38562259158831547,3.7440430440614615e-247,0.0,1.6022185631866198e-10,0.0,0.0,2.1916619572586457e-05,0.0,0.015016159898597435,0
0.0,2.83975526867903e-06,0.3844908547391225,4.473607705366318e-14,0.0,0.0001911856862207242,0.0,0.0,6.477283772310846e-05,7.813281977285717e-87,0.1814784976107645,0
0.94,0.586351823388483,0.554643494329585,4.314715525244027e-14,1.0,0.9905009673219827,0.6,0.69,0.9999782621791069,2.0135994197693083e-86,0.25453610507553504,1
0.0,2.322461333790223e-37,0.3640658983418607,1.3136698297549826e-156,0.0,1.908970697434367e-08,0.0,0.0,3.4654012740296296e-05,2.1150321484543696e-233,0.007784714426251225,0
0.0,2.061811284360773e-26,0.3691575458141804,3.8768081263303205e-84,0.0,2.393724907316669e-06,0.0,0.0,2.1932304069891315e-05,9.530020507466702e-158,0.011740391999081737,0
0.0,3.838259404481671e-09,0.4331796784793839,1.3359033867976323e-23,0.0,0.00018540193636853387,0.0,0.01,2.384546755380025e-05,2.951869661366875e-91,0.06965813420308568,0
1.0,0.9087033442641638,0.5790434004839301,2.0651987474766447e-13,1.0,0.9999957356410871,1.0,1.0,0.9999782621791069,5.601722366822361e-82,0.6849579556583576,1
0.0,0.03732713631168303,0.43916195883757386,4.7427150249994225e-15,0.0,0.0003846383873711619,0.0,0.01,2.180999297420529e-05,1.6635267730636047e-83,0.2783038370229425,0
0.99,0.9094921470564556,0.5615716117192956,8.601947103144596e-14,1.0,0.9999993548611982,1.0,0.96,0.9999782621791069,1.1481983041195182e-85,0.5343573551332369,1
1.0,0.7531415829725607,0.5770068789254856,3.885890578873538e-13,1.0,0.9997548689022253,1.0,0.87,0.9999782621791069,1.6805007689024938e-80,0.5619329715568935,1
0.94,0.8663903079846665,0.5510491267508549,2.0158117297104256e-14,1.0,0.9999997663949396,1.0,0.92,0.9999782621791069,1.730425723101469e-85,0.3497415182182057,1
0.02,0.2248643207040506,0.40365650924697605,2.912127161742589e-12,0.0,0.007326075518898799,0.0,0.09,2.3370910013498416e-05,8.245868759563014e-80,0.33670298035154705,0
0.97,0.4687588955269023,0.5607209344232726,1.57770869820168e-14,1.0,0.883591553616365,0.8,0.89,0.999916815545553,5.596237077535051e-83,0.2735753542545226,1
0.08,0.04270173040762066,0.4398629469420791,1.3084046353347755e-13,0.0,0.00430583209446905,0.0,0.08,2.4109235384456273e-05,3.443138810301321e-82,0.7639259929951356,0
0.98,0.9570758329367399,0.5900938388997574,6.330659704688459e-13,1.0,0.999999516161277,0.4,0.95,0.9999782621791069,1.5825841484526197e-82,0.48755797138076534,1
1.0,0.9997300846001088,0.736334336086018,1.0,1.0,0.9999999894528876,1.0,1.0,0.9999782621791069,1.0,0.9951361917675055,1
1.0,0.9574277177694672,0.5900938388997574,1.5246579296006564e-13,1.0,0.9999998703724694,1.0,1.0,0.9999782621791069,3.2425731415389036e-82,0.549089822948753,1
0.98,0.9603655637441613,0.5790434004839301,5.424957784893254e-13,1.0,0.9999998099740185,1.0,0.97,0.9999782621791069,2.705270729786236e-81,0.7876619977617185,1
